pb,industry,peg,name,mc
3.15,Information Technology,2.05,Teradata Corp,3110000000.0
15.07,Consumer Discretionary,1.72,Starbucks Corp,87860000000.0
1.36,Financials,2.27,Prologis,20230000000.0
,Financials,0.00,Hudson City Bancorp,
2.58,Consumer Discretionary,1.26,Comcast Corp,135960000000.00002
5.85,Consumer Staples,3.26,McCormick & Co,10460000000.0
0.09,Financials,0.55,Genworth Financial,1220000000.0
0.98,Energy,-1.11,Chevron Corp,157230000000.0
1.10,Financials,1.30,Assurant,5230000000.0
1.65,Utilities,-29.81,Edison International,19460000000.0
4.01,Financials,2.04,Apartment Investment & Mgmt,5910000000.0
,Consumer Staples,0.00,Kraft Foods Group,
2.28,Consumer Discretionary,0.74,Royal Caribbean Cruises,18870000000.0
7.59,Consumer Discretionary,1.23,Lowe'sCompanies,64510000000.00001
0.70,Financials,1.45,American International Group,69710000000.0
,Consumer Discretionary,-39.55,Cablevision Systems,8670000000.0
3.51,Consumer Discretionary,1.40,Walt Disney Co,160190000000.0
4.84,Materials,1.37,PPG Indus,25090000000.0
6.01,Consumer Staples,2.13,Monster Beverage,29220000000.0
1.72,Industrials,-9.49,Norfolk Southern,20480000000.0
1.97,Utilities,-2.04,AGL Resources,7670000000.0
2.18,Utilities,4.11,PPL Corp,22880000000.0
11.42,Energy,2.98,ONEOK,5250000000.0
2.55,Health Care,1.42,Univl Health Services,10590000000.0
3.38,Materials,0.92,International Paper,15110000000.0
0.65,Information Technology,0.00,Hewlett-Packard,17560000000.0
2.22,Industrials,1.60,Ingersoll-Rand Plc,13170000000.0
3.43,Industrials,0.62,United Rentals,5360000000.0
8.64,Financials,1.20,Iron Mountain,5390000000.0
1.09,Financials,1.18,M&T Bank,16690000000.000002
2.49,Industrials,1.31,United Technologies,76590000000.0
2.20,Consumer Discretionary,0.86,Johnson Controls,23060000000.0
0.90,Industrials,2.83,Quanta Services,2860000000.0
1.94,Information Technology,1.10,Cisco Systems,118630000000.0
5.20,Materials,3.56,Airgas,9990000000.0
1.09,Information Technology,3.01,Western Digital,10370000000.0
9.06,Consumer Discretionary,1.31,Hanesbrands,11460000000.0
12.28,Industrials,1.56,Boeing Co,83490000000.0
1.05,Financials,0.98,Bank of New York Mellon,38150000000.0
3.89,Consumer Discretionary,1.25,Darden Restaurants,7940000000.0
1.61,Consumer Discretionary,0.81,Carnival Corp,38270000000.0
3.64,Financials,1.90,Crown Castle International,27180000000.0
10.18,Consumer Staples,-14.76,Coca-Cola Enterprises,10290000000.0
2.74,Consumer Discretionary,1.85,Tiffany & Co,7900000000.0
378.87,Industrials,1.31,Allegion Plc,5750000000.0
2.54,Information Technology,1.27,FLIR Systems,4200000000.0
2.58,Health Care,1.10,Mylan NV,26120000000.0
4.61,Materials,1.11,LyondellBasell Industries,35280000000.0
,Materials,0.00,Sigma-Aldrich,
4.09,Health Care,2.44,Schein (Henry),12150000000.0
3.24,Utilities,3.56,Dominion Resources,41530000000.0
0.85,Financials,2.03,Navient Corp,3350000000.0
10.15,Consumer Staples,3.63,PepsiCo,139640000000.0
2.50,Consumer Staples,15.38,Wal-Mart Stores,200730000000.0
11.37,Telecommunication Services,2.11,Verizon Communications,191590000000.0
,Information Technology,2.48,VeriSign,8390000000.000001
1.74,Telecommunication Services,2.22,AT&T,216180000000.0
1.63,Energy,-23.17,WilliamsCompanies,14800000000.0
2.13,Industrials,1.02,Textron,10250000000.0
2.66,Materials,2.43,Owens-Illinois,2069999999.9999998
1.40,Financials,-4.97,Cincinnati Financial,9010000000.0
1.63,Financials,1.43,Northern Trust,13850000000.0
0.26,Energy,-0.08,ENSCO Plc,2250000000.0
2.77,Industrials,1.58,Flowserve Corp,4840000000.0
1.92,Industrials,1.82,Fluor Corp,6070000000.0
14.47,Health Care,1.83,Regeneron Pharmaceuticals,49920000000.0
20.01,Consumer Discretionary,1.60,Home Depot,155650000000.0
5.68,Health Care,1.72,Lilly (Eli),87540000000.0
5.28,Industrials,3.13,Rockwell Automation,12090000000.0
2.293,Information Technology,1.490,Intel Corp,141310000000.0
1.58,Utilities,3.58,SCANA Corp,8740000000.0
3.32,Industrials,1.77,AMETEK,11160000000.0
2.59,Financials,0.84,Affiliated Managers Group,7270000000.0
1.39,Health Care,0.52,Mallinckrodt plc,7460000000.0
1.88,Industrials,9.03,L-3 Communications Holdings,8740000000.0
5.51,Consumer Discretionary,1.78,Newell Rubbermaid,9870000000.0
2.08,Financials,0.85,Ameriprise Financial,16239999999.999998
2.52,Health Care,1.87,Thermo Fisher Scientific,54000000000.0
5.76,Financials,1.47,American Tower,39500000000.0
2.01,Information Technology,0.99,Lam Research,10880000000.0
2.22,Financials,4.38,Realtyome,13490000000.0
0.29,Energy,-1.40,CONSOL Energy,1410000000.0
0.98,Information Technology,-1.42,Yahoo,28090000000.0
25.56,Industrials,10.08,Pitney Bowes,3690000000.0
4.17,Health Care,1.28,Becton Dickinson,30510000000.0
1.29,Financials,3.59,TravelersCompanies,30520000000.0
1.72,Energy,0.73,Marathon Petroleum,22830000000.0
2.15,Consumer Staples,2.79,Mondelez International,66110000000.0
5.06,Consumer Staples,1.97,Keurig Green Mountain,13280000000.0
9.71,Consumer Discretionary,2.98,Under Armour,15280000000.0
2.39,Financials,3.02,AvalonBay Communities,23860000000.0
0.76,Materials,-8.92,Newmont Mining,8830000000.0
1.74,Consumer Discretionary,-1.46,Fossil Group,1480000000.0
,Financials,,ACE Limited,
2.17,Utilities,2.75,NextEra Energy,49090000000.0
10.42,Information Technology,1.99,Accenture Plc,64200000000.0
1.64,Utilities,-1.38,NiSource,6460000000.0
2.51,Information Technology,0.97,TE Connectivity,21790000000.0
1.40,Energy,-1.37,Range Resources,4400000000.0
0.27,Energy,-0.05,Noble Corp,1770000000.0
5.97,Industrials,1.96,Fastenal Co,11000000000.0
0.96,Energy,-20.16,Noble Energy,12190000000.0
1.00,Energy,2.33,Helmerich & Payne,5070000000.0
1.62,Industrials,1.57,ADT Corp (The),4840000000.0
6.25,Information Technology,1.91,Linear Technology Corp,10210000000.0
7.81,Information Technology,1.30,Alliance Data Systems,15240000000.0
7.93,Information Technology,2.34,Automatic Data Processing,37410000000.0
,Industrials,2.38,Dun & Bradstreet,3500000000.0
7.39,Health Care,0.51,Gilead Sciences,132340000000.0
1.37,Consumer Discretionary,0.68,GameStop Corp,2690000000.0
1.97,Consumer Staples,2.62,Smucker (J.M.),14710000000.0
0.92,Financials,1.18,JPMorgan Chase & Co,209250000000.0
1.07,Consumer Staples,149.50,Archer-Daniels-Midland,19830000000.0
3.11,Information Technology,1.75,Analog Devices,16030000000.000002
4.68,Consumer Discretionary,0.81,Viacom,17140000000.0
4.84,Consumer Discretionary,1.40,Leggett & Platt,5360000000.0
1.74,Utilities,3.73,Xcel Energy,18590000000.0
33.59,Financials,1.45,McGraw Hill Financial,23110000000.0
1.61,Consumer Discretionary,0.77,Lennar Corp,8880000000.0
4.83,Information Technology,2.16,eBay,31730000000.0
0.68,Financials,1.72,MetLife,49120000000.0
5.81,Consumer Discretionary,6.48,Time Warner Cable,51550000000.0
1.65,Financials,2.16,U.S. Bancorp,68700000000.0
,Consumer Discretionary,1.43,AutoZone,22000000000.0
,Information Technology,1.85,Motorola Solutions,10950000000.0
2.36,Consumer Discretionary,0.98,Time Warner,56680000000.0
2.21,Industrials,3.71,PACCAR,16450000000.0
5.10,Information Technology,1.84,Texas Instruments,51020000000.0
3.34,Industrials,0.29,Delta Air Lines,36380000000.0
224.12,Consumer Staples,3.56,Colgate-Palmolive,57950000000.0
3.13,Information Technology,1.68,Oracle Corp,146200000000.0
2.48,Utilities,3.62,TECO Energy,6360000000.0
1.86,Energy,14.21,Pioneer Natural Resources,16950000000.0
0.76,Materials,7.35,Alcoa,9000000000.0
